enode://ed5ab557d4b27317822a7f5f0d3823773ba888c295298b26b01fb34b13e2fc3f2a9b4d8c111401811e170d3e3cc43aa52892d33f7e39cf1e2af89951877c7822@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [08-21|03:28:35.353] New local node record                    seq=1,755,728,915,351 id=047090cb248b63f6 ip="invalid IP" udp=0 tcp=0
TRACE[08-21|03:28:41.753] << PING/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400 err=<nil>
TRACE[08-21|03:28:41.753] >> PONG/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400 err=<nil>
TRACE[08-21|03:28:41.754] >> PING/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400 err=<nil>
TRACE[08-21|03:28:41.754] << PING/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400 err=<nil>
TRACE[08-21|03:28:41.754] >> PONG/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400 err=<nil>
TRACE[08-21|03:28:41.754] >> PING/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400 err=<nil>
DEBUG[08-21|03:28:41.754] Bad discv4 packet                        addr=[::ffff:127.0.0.1]:8400 err="too small"
TRACE[08-21|03:28:41.755] << PONG/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:41.755] << PONG/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:42.254] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:42.254] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:42.255] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:42.255] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
DEBUG[08-21|03:28:42.455] Bad discv4 packet                        addr=[::ffff:127.0.0.1]:8400 err="too small"
TRACE[08-21|03:28:42.756] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:42.757] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:42.758] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:42.759] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
DEBUG[08-21|03:28:43.156] Bad discv4 packet                        addr=[::ffff:127.0.0.1]:8400 err="too small"
TRACE[08-21|03:28:43.257] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.258] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.259] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.260] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.741] << PING/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.741] >> PONG/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.743] << ENRREQUEST/v4                         id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.743] >> ENRRESPONSE/v4                        id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.757] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.757] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.760] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.761] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.788] >> PING/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.789] << PONG/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.789] >> ENRREQUEST/v4                         id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:43.790] << ENRRESPONSE/v4                        id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
DEBUG[08-21|03:28:43.790] Node revalidated                         b=9 id=0520bb8cc3212d56 checks=1 q=fast
DEBUG[08-21|03:28:43.856] Bad discv4 packet                        addr=[::ffff:127.0.0.1]:8400 err="too small"
TRACE[08-21|03:28:44.009] >> PING/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:44.010] << PONG/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
DEBUG[08-21|03:28:44.010] Node revalidated                         b=9 id=0520bb8cc3212d56 checks=2 q=slow
TRACE[08-21|03:28:44.261] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:44.261] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
DEBUG[08-21|03:28:44.557] Bad discv4 packet                        addr=[::ffff:127.0.0.1]:8400 err="too small"
TRACE[08-21|03:28:44.671] << PING/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
